Caminho Original,É da Rádio?,Programa Identificado,Destino Proposto
G:\Meu Drive\2026 (1)\03 - MAR - 26\02 03 - SEG\B5- LICENÇA REMUNERADA JOÃO CÂMARA.gdoc,SIM,DESCONHECIDO,H:\Meu Drive\01_ROTEIROS/DESCONHECIDOS
G:\Meu Drive\2026 (1)\03 - MAR - 26\02 03 - SEG\B8- TJRN 2 VARA PARNAMIRIM ESTÁGIO.gdoc,SIM,DESCONHECIDO,H:\Meu Drive\01_ROTEIROS/DESCONHECIDOS
G:\Meu Drive\2026 (1)\03 - MAR - 26\02 03 - SEG\desktop.ini,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Outros
G:\Meu Drive\2026 (1)\03 - MAR - 26\11 03 - QUA\B4- TJRN JUIZADO VIOLÊNCIA DOMÉSTICA.gdoc,SIM,DESCONHECIDO,H:\Meu Drive\01_ROTEIROS/DESCONHECIDOS
G:\Meu Drive\2026 (1)\03 - MAR - 26\11 03 - QUA\B6- TRE RN 82 ATENDIMENTOS .gdoc,SIM,DESCONHECIDO,H:\Meu Drive\01_ROTEIROS/DESCONHECIDOS
G:\Meu Drive\2026 (1)\03 - MAR - 26\11 03 - QUA\B5- TJRN LIVRO IMPACTOS FEMINICÍDIOS .gdoc,SIM,DESCONHECIDO,H:\Meu Drive\01_ROTEIROS/DESCONHECIDOS
G:\Meu Drive\2026 (1)\03 - MAR - 26\11 03 - QUA\B2- TJRN EMPRESA ÔNIBUS CONDENADA .gdoc,SIM,DESCONHECIDO,H:\Meu Drive\01_ROTEIROS/DESCONHECIDOS
G:\Meu Drive\2026 (1)\03 - MAR - 26\11 03 - QUA\B3- TJRN ACUSADO MATAR PREFEITO .gdoc,SIM,DESCONHECIDO,H:\Meu Drive\01_ROTEIROS/DESCONHECIDOS
G:\Meu Drive\2026 (1)\03 - MAR - 26\11 03 - QUA\B1- TJRN NEGLIGÊNCIA MÉDICA .gdoc,SIM,DESCONHECIDO,H:\Meu Drive\01_ROTEIROS/DESCONHECIDOS
G:\Meu Drive\2026 (1)\03 - MAR - 26\11 03 - QUA\B7- CNJ TRIBUNAIS FERRAMENTA IA .gdoc,SIM,DESCONHECIDO,H:\Meu Drive\01_ROTEIROS/DESCONHECIDOS
G:\Meu Drive\2026 (1)\03 - MAR - 26\11 03 - QUA\B10- CRONOGRAMA OBRAS.gdoc,SIM,DESCONHECIDO,H:\Meu Drive\01_ROTEIROS/DESCONHECIDOS
G:\Meu Drive\2026 (1)\03 - MAR - 26\11 03 - QUA\B9- AFASTAMENTO CURSO FORMAÇÃO.gdoc,SIM,DESCONHECIDO,H:\Meu Drive\01_ROTEIROS/DESCONHECIDOS
G:\Meu Drive\2026 (1)\03 - MAR - 26\11 03 - QUA\B8- ESTÁGIO PÓS ALEXANDRIA.gdoc,SIM,DESCONHECIDO,H:\Meu Drive\01_ROTEIROS/DESCONHECIDOS
G:\Meu Drive\2026 (1)\03 - MAR - 26\11 03 - QUA\desktop.ini,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Outros
G:\Meu Drive\2026 (1)\03 - MAR - 26\30 03\BOLETIM_RADIO_TJRN_30_03_2026_B2_GMF_EM_ACAO_PAU_DOS_FERROS.mp3,SIM,BOLETIM,H:\Meu Drive\02_PRODUCAO/BOLETINS
G:\Meu Drive\2026 (1)\03 - MAR - 26\30 03\BOLETIM_RADIO_TJRN_30_03_2026_B1_DANOS_MORAIS_NOME_NEGATIVADO.mp3,SIM,BOLETIM,H:\Meu Drive\02_PRODUCAO/BOLETINS
G:\Meu Drive\2026 (1)\03 - MAR - 26\30 03\BOLETIM_RADIO_TJRN_30_03_2026_B3_INDICES_ESTRATEGICOS_2025.mp3,SIM,BOLETIM,H:\Meu Drive\02_PRODUCAO/BOLETINS
G:\Meu Drive\2026 (1)\03 - MAR - 26\30 03\BOLETIM_RADIO_TJRN_30_03_2026_B5_EVENTO_INOVACAO_SETIC.mp3,SIM,BOLETIM,H:\Meu Drive\02_PRODUCAO/BOLETINS
G:\Meu Drive\2026 (1)\03 - MAR - 26\30 03\BOLETIM_RADIO_TJRN_30_03_2026_B4_RESIDENCIA_TERAPEUTICA_EGRESSOS.mp3,SIM,BOLETIM,H:\Meu Drive\02_PRODUCAO/BOLETINS
G:\Meu Drive\2026 (1)\03 - MAR - 26\30 03\BOLETIM_RADIO_TJRN_30_03_2026_B8_BLOQUEIO_INDEVIDO_BANCO.mp3,SIM,BOLETIM,H:\Meu Drive\02_PRODUCAO/BOLETINS
G:\Meu Drive\2026 (1)\03 - MAR - 26\30 03\BOLETIM_RADIO_TJRN_30_03_2026_B7_DESCONTOS_PREVIDENCIARIOS.mp3,SIM,BOLETIM,H:\Meu Drive\02_PRODUCAO/BOLETINS
G:\Meu Drive\2026 (1)\03 - MAR - 26\30 03\BOLETIM_RADIO_TJRN_30_03_2026_B6_AUTOMOVEL_DEFEITO_FABRICACAO.mp3,SIM,BOLETIM,H:\Meu Drive\02_PRODUCAO/BOLETINS
G:\Meu Drive\2026 (1)\03 - MAR - 26\30 03\BOLETIM_RADIO_TJRN_30_03_2026_B9_GMF_ACAO_MOSSORO.mp3,SIM,BOLETIM,H:\Meu Drive\02_PRODUCAO/BOLETINS
G:\Meu Drive\2026 (1)\03 - MAR - 26\30 03\BOLETIM_RADIO_TJRN_30_03_2026_B10_PENSAO_GUARDA_MUNICIPAL.mp3,SIM,BOLETIM,H:\Meu Drive\02_PRODUCAO/BOLETINS
G:\Meu Drive\2026 (1)\03 - MAR - 26\30 03\desktop.ini,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Outros
G:\Meu Drive\2026 (1)\03 - MAR - 26\13 03 - SEX\B2- TJRN DETERMINA SUSPENSÃO COBRANÇA .gdoc,SIM,DESCONHECIDO,H:\Meu Drive\01_ROTEIROS/DESCONHECIDOS
G:\Meu Drive\2026 (1)\03 - MAR - 26\13 03 - SEX\B4- TJRN HOMEM CONDENADO VIOLÊNCIA PSICOLÓGICA .gdoc,SIM,DESCONHECIDO,H:\Meu Drive\01_ROTEIROS/DESCONHECIDOS
G:\Meu Drive\2026 (1)\03 - MAR - 26\13 03 - SEX\B5- TJRN CLÁUSULAS CLARAS CONSÓRCIO .gdoc,SIM,DESCONHECIDO,H:\Meu Drive\01_ROTEIROS/DESCONHECIDOS
G:\Meu Drive\2026 (1)\03 - MAR - 26\13 03 - SEX\B3- TJRN MANTÉM CONDENAÇÃO DANO AMBIENTAL .gdoc,SIM,DESCONHECIDO,H:\Meu Drive\01_ROTEIROS/DESCONHECIDOS
G:\Meu Drive\2026 (1)\03 - MAR - 26\13 03 - SEX\B6- TJRN VARA MACAÍBA PENAS PECUNIÁRIAS .gdoc,SIM,DESCONHECIDO,H:\Meu Drive\01_ROTEIROS/DESCONHECIDOS
G:\Meu Drive\2026 (1)\03 - MAR - 26\13 03 - SEX\B7- CNJ REDES ATENDIMENTOS DENÚNCIA .gdoc,SIM,DESCONHECIDO,H:\Meu Drive\01_ROTEIROS/DESCONHECIDOS
